,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
398,leona vicario,100,NO,1579664213,81,70.37,31.11,270.25,15.66
399,leona vicario,100,BR,1579664671,94,-10.21,-48.36,296.08,1.17
400,leona vicario,0,JP,1579664671,52,42.98,144.37,272.94,4.85
401,leona vicario,100,RU,1579664379,93,66.83,70.83,257.75,8.23
402,leona vicario,0,RU,1579664671,76,59.7,150.17,250.86,2.32
403,leona vicario,60,CA,1579664506,82,44.65,-63.57,259.82,2.07
404,leona vicario,100,KZ,1579664671,94,48.57,83.65,265.59,5.84
405,leona vicario,73,US,1579664671,93,59.64,-151.55,264.82,0.45
406,leona vicario,0,IN,1579664672,56,25.73,86.98,287.85,1.91
407,leona vicario,75,US,1579664539,72,33.85,-118.05,288.15,2.5
408,leona vicario,100,RU,1579664672,95,65.7,82.47,251.02,7.62
409,leona vicario,40,MN,1579664379,83,49.98,92.07,251.05,0.76
410,leona vicario,90,CL,1579664218,88,-29.95,-71.34,290.15,2.1
411,leona vicario,100,BR,1579664671,92,-15.89,-52.26,296.55,0.67
412,leona vicario,65,NG,1579664672,80,4.92,6.26,298.07,0.74
413,leona vicario,100,NO,1579664224,62,61.99,5.14,279.15,10.3
414,leona vicario,75,MZ,1579664673,88,-15.12,39.27,295.15,7.7
415,leona vicario,76,BR,1579664673,94,-7.03,-42.13,295.61,0.81
416,leona vicario,1,ES,1579664673,71,28.96,-13.64,286.15,3.1
417,leona vicario,100,BR,1579664673,92,-7.36,-46.62,295.84,2.27
418,leona vicario,100,GF,1579664391,78,5.38,-52.95,298.94,6.66
419,leona vicario,100,US,1579664246,95,40.6,-124.16,283.15,0.45
420,leona vicario,0,ID,1579664673,64,-6.88,112.21,303.81,1.07
421,leona vicario,4,MX,1579664673,73,21.28,-88.93,294.23,10.68
422,leona vicario,75,MY,1579664347,88,1.55,110.33,301.15,1.5
423,leona vicario,13,OM,1579664358,77,17.02,54.09,291.84,1.5
424,leona vicario,75,IE,1579664674,100,51.55,-9.27,280.15,2.1
425,leona vicario,90,IS,1579664260,100,63.84,-22.43,280.15,12.3
426,leona vicario,88,CA,1579664674,80,45.25,-81.67,272.59,2.24
427,leona vicario,100,KR,1579664674,71,35.24,129.21,282.61,1.86
428,leona vicario,100,MV,1579664675,76,5.67,73.0,301.85,10.49
429,leona vicario,25,BS,1579664675,77,26.54,-77.06,292.02,12.33
430,leona vicario,100,RU,1579664675,87,66.03,60.17,263.24,3.0
431,leona vicario,13,PG,1579664077,77,-2.57,150.8,301.69,7.45
432,leona vicario,100,BR,1579664675,76,-11.09,-43.14,298.79,4.99
433,leona vicario,39,CU,1579664675,90,20.05,-75.95,294.4,1.83
434,leona vicario,1,US,1579664675,41,32.3,-81.24,277.04,3.1
435,leona vicario,75,CA,1579664335,93,50.7,-127.42,278.15,6.7
436,leona vicario,93,PG,1579664675,74,-9.08,143.21,304.04,2.46
437,leona vicario,100,MG,1579664676,78,-19.9,48.8,299.18,7.4
438,leona vicario,87,RO,1579664676,94,47.07,22.35,273.15,2.6
439,leona vicario,100,JP,1579664676,69,28.37,129.48,291.41,5.44
440,leona vicario,0,ES,1579664351,70,42.78,-9.06,284.26,6.7
441,leona vicario,100,CD,1579664676,98,-8.74,24.99,291.71,2.88
442,leona vicario,1,US,1579664676,30,34.42,-79.37,274.26,2.6
443,leona vicario,100,PE,1579663998,79,-10.07,-78.15,294.66,2.09
444,leona vicario,34,PH,1579664677,66,9.19,117.81,300.61,4.96
445,leona vicario,75,MU,1579664352,94,-19.98,57.61,298.71,0.5
446,leona vicario,0,GR,1579664677,92,39.71,20.79,271.48,0.5
447,leona vicario,0,AU,1579664211,18,-25.24,130.99,309.15,2.6
